Jugador,Goles_por_90,Asistencias_por_90,Tiros_por_90,Tiros_al_arco_por_90,Efectividad_Tiros,Goles Esperados (xG),Asistencias Esperadas (xAG),Diferencia_Goles,Diferencia_Asistencias,Acciones Creadoras de Gol (SCA) por 90,Contribuciones de Gol (GCA) por 90,xOVA,Tacleadas_por_90,Intercepciones_por_90,Bloqueos_por_90,PPDA,Porcentaje de Pases Completados,Pases_progresivos_por_90,Regates_exitosos_por_90,Conducciones_por_90,Conducciones_progresivas_por_90,Tarjetas_amarillas_por_90,Tarjetas_rojas_por_90,Minutos,Goles_Favor,Goles_Contra,Resultado_Final_Num,Posicion_Normalizada,Posición,Ranking_Ofensivo,Ranking_Defensivo,Ranking_Creacion_Juego,Ranking_Pases
Ashley Young,0.0,0.0,0.4766454041631067,0.064516129032258,0.0,0.0225806451612903,0.0483870967741935,0.0225806451612903,0.0483870967741935,2.3432379803702834,0.032258064516129,-0.9193548387096774,1.9886047939835223,0.8248893489958056,0.9206592616287834,230.14885057471264,0.6773870967741935,3.4219138766036714,0.5287201005781091,23.10512521394932,1.515100244777788,0.332145536384096,0.0806451612903225,2280.0,34,40,-1,Defensor,"['LB', 'RB', 'RM', 'RW', 'CM']",0.056641030970692195,0.14709850124024648,0.15498490454513766,0.40913992226426443
Auston Trusty,0.0,0.0,0.2639785056715437,0.0668512658227848,0.0,0.009375,0.034375,0.009375,0.034375,0.5139785056715437,0.0,-0.6580645161290323,2.030488085922077,1.6486349706828858,1.7405355542765073,185.18738095238092,0.718375,1.3182653430702864,0.194229462398067,17.80198021445782,0.3382810200176626,0.125,0.0,2572.0,28,88,-22,Defensor,"['CB', 'LB,CB', 'CB,LB', 'LB', 'CM', 'WB', 'WB,CB']",0.031211026813552374,0.22983229432697366,0.0,0.5023775221888769
Axel Disasi,0.064516129032258,0.0,0.5370531822144725,0.1290322580645161,0.0909090909090909,0.0806451612903225,0.0129032258064516,0.0161290322580645,0.0129032258064516,0.4520091939446778,0.0,-1.3451612903225807,1.0784655623365302,0.5806451612903226,0.8596338273757629,136.04236111111112,0.8984193548387096,3.762859633827376,0.3988269794721407,62.90796148054213,1.01688198462392,0.1935483870967742,0.0,2579.0,59,53,3,Defensor,"['CB', 'CB,RB', 'RB']",0.07773851590106008,0.08743960239157386,0.09242318294892139,0.9119350307214755
Ben Brereton,0.525974025974026,0.0714285714285714,2.686337972360606,1.305197373828703,0.2179487179487179,0.4285714285714285,0.0928571428571428,7.930164461608259e-18,0.0214285714285714,2.5312659449840558,0.3831168831168831,-0.5,0.7242314647377938,0.2142857142857142,0.6962811541787877,243.07619047619048,0.7587857142857143,2.9186228609079774,0.8151431242807826,18.15146400099581,1.7826781604471478,0.2242314647377938,0.0,1105.0,17,42,-10,Delantero,"['LM', 'LM,FW', 'FW', 'FW,LW', 'LW']",0.47751432728568466,0.04405069845280662,0.1716705597750134,0.5943021564030759
Ben Davies,0.0588235294117647,0.0,1.621848739495798,0.1176470588235294,0.0625,0.1294117647058823,0.0235294117647058,0.0705882352941176,0.0235294117647058,1.6090988119385683,0.1196754563894523,-1.2705882352941178,2.802303680092727,0.5882352941176471,1.2541292379020574,126.63777777777776,0.8779411764705882,7.546218487394958,0.4305998261373515,49.2408129395959,0.7667342799188641,0.1196754563894523,0.0,1090.0,33,24,4,Defensor,"['LB', 'CB', 'LB,CB']",0.13323021996160758,0.19179153654271144,0.22944524353017529,0.8653521110889919
Ben Godfrey,0.0,0.0,1.0712530712530712,0.2568386568386568,0.0,0.1133333333333333,0.0133333333333333,0.1133333333333333,0.0133333333333333,1.1340823970037452,0.2,-0.8733333333333334,2.0856674856674857,1.0962445591659076,6.981093044014392,148.3498866213152,0.6699333333333333,8.84549043425448,0.3333333333333333,51.47071749993098,0.7477477477477478,0.1477477477477477,0.0,1120.0,15,23,-2,Defensor,"['CB', 'RB', 'LB', 'RB,LB']",0.10868149379893305,0.4626616232344725,0.25175499054927725,0.3921844071259817
Ben Mee,0.125,0.0,0.625,0.125,0.119047619047619,0.09375,0.01875,-0.03125,0.01875,0.890625,0.0625,-0.75625,1.722051056338028,0.829225352112676,1.3772321428571428,145.35611111111112,0.7308749999999999,3.270057847082495,0.1875,36.56441775653924,0.704225352112676,0.0625,0.0803571428571428,1272.0,21,32,-7,Defensor,"['CB', 'LB']",0.09544533361047611,0.1566385124087368,0.07782967363092606,0.530812009130962
Ben Osborn,0.0,0.0833333333333333,0.175014907573047,0.0,0.0,0.0083333333333333,0.0291666666666666,0.0083333333333333,-0.0541666666666666,2.8203593528850264,0.125,-0.6818181818181818,0.9814400715563506,0.6823725055432371,1.0280828062441434,330.6348039215686,0.7139583333333334,4.482646999813556,0.3542839274546591,26.96926469153693,0.7966746794871794,0.2005208333333333,0.0,1367.0,23,68,-16,Defensor,"['LW', 'WB', 'RM', 'RM,LM', 'AM', 'CM', 'LM', 'DM,WB', 'LB', 'CM,LW', 'CM,LB,WB', 'CM,WB']",0.025371544377468302,0.09593879010240736,0.17586288196804217,0.4923306701360066
Ben White,0.1190878378378378,0.1130867709815078,0.3727260914760915,0.1835369022869023,0.25,0.0243243243243243,0.1027027027027027,-0.0837837837837837,-0.0054054054054054,2.434660517187607,0.2029118902183917,-1.2891891891891891,1.4210855456985487,0.9254182324035266,1.3757285906086216,123.98557422969188,0.8034864864864865,5.508830840003441,0.264033264033264,40.5941144507321,1.2680165125018066,0.226044226044226,0.0,2988.0,88,28,22,Defensor,"['CB,RB', 'RB', 'RB,RW', 'RB,CB']",0.10901818467813074,0.14651335174699942,0.20697852178747775,0.6959856382785952
Benoît Badiashile,0.0,0.0555555555555555,0.3654970760233918,0.0555555555555555,0.0,0.0111111111111111,0.0777777777777777,0.0111111111111111,0.0222222222222222,1.7543859649122806,0.6111111111111112,-1.2777777777777777,1.599068747797311,1.0,1.5656565656565655,129.16041666666666,0.8980588235294117,5.595254735408491,0.0,58.081865371634734,0.6111111111111112,0.1988304093567251,0.0,1338.0,36,37,3,Defensor,"['CB', 'RB', 'LB,CB', 'LB']",0.07338506662971434,0.1682333200962289,0.1756618934939675,0.9111149088969597
